"The cure for anything is salt water – sweat, tears, or the sea.", Isak Dinesen
.,"I am nobody! Who are you? Are you a nobody, too? Emily Dickinson"
A long life makes acquaintance with a thousand ills., Publius Syrus
There is prodigious strength in sorrow and despair., Charles Dickens 
"No one is really going to help you or give you direction. In fact, the odds are against you.", Robert Greene
"You’re sad because you’re wasting your potential. You know it, your family knows it, everyone knows it. Do something useful.", Carlos Del Valle
"Feeling down, lost, confused, angry, jealous are all parts of the human condition. Don’t fight them. Understand them. Accept them. Love them and go beyond them.", Maxime Lagacé
The wound is the place where the light enters you., Rumi
Nothing sadder than seeing a person settle for so much lower than their potential., Ed Latimore
"The more you consume, the sadder you get. The sadder you get, the more you consume. Create instead.", Maxime Lagacé
"That is my work, to transform your life from a sad affair into a celebration.", Osho
"Sadness is silent, it is yours. It is coming because you are alone. It is giving you a chance to go deeper into your aloneness. Rather than jumping from one shallow happiness to another shallow happiness and wasting your life, it is better to use sadness as a means for meditation. Witness it. It is a friend! It opens the door of your eternal aloneness.", Osho
"Life needs both: thorns and roses, days and nights, happiness/unhappiness, birth/death. Be a witness to it all and you will know something that is beyond birth, beyond death; something that is beyond darkness and beyond light; something that is beyond happiness, beyond unhappiness.", Osho
I’ve learned more from pain than I could’ve ever learned from pleasure., Unknown
"Its good to leave each day behind, like flowing water, free of sadness. Yesterday is gone and its tale told. Today new seeds are growing.", Rumi
You say: “I did not think it would happen”.," Do you think there is anything that will not happen, when you know that it is possible to happen, when you see that it has already happened to many? Seneca"
I have seen great beauty of spirit in some who were great sufferers […] and I have seen the last illness produce treasures of fortitude and meekness from most unpromising subjects. C.S., Lewis (The Problem of Pain)
"Experiencing sadness and anger can make you feel more creative, and by being creative, you can get beyond your pain or negativity.", Yoko Ono
The human condition is a good one in that no one is unhappy except by his own fault., Seneca
This genuine heart of sadness can teach us great compassion. It can humble us when we’re arrogant and soften us when we are unkind., Pema Chödrön
"Usually when people are sad, they don’t do anything. They just cry over their condition. But when they get angry, they bring about a change.", Malcolm X
Man performs and engenders so much more than he can or should have to bear. That’s how he finds that he can bear anything., William Faulkner
"Let there be sunshine, let there be rain, let the broken hearted love again.", Bruce Springsteen
There is not enough darkness in all the world to put out the light of even one small candle., Robert Alden
Suffering is a gift; in its hidden mercy., Rumi
"Misery comes the moment you become clinging, attached. The moment you put conditions on life.", Osho 
"Everybody wants to destroy misery, but everybody goes on desiring, and by desiring one goes on creating more and more misery.", Osho
"Happiness is one pole, sadness is another. Blissfulness is one pole, misery is another. Life consists of both, and life is richer because of both. A life only of blissfulness will have extension, but will not have depth. A life of only sadness will have depth, but will not have extension.", Osho
"The more secrets you have, the less happy you’re going to be.", Naval Ravikant
Be patient where you sit in the dark. The dawn is coming., Rumi 
The fundamental delusion – there is something out there that will make me happy and fulfilled forever., Naval Ravikant
At the heart of every frustration lies a basic structure: the collision of a wish with an unyielding reality., Alain de Botton (The Consolations of Philosophy)
He soon felt that the fulfillment of his desires gave him only one grain of the mountain of happiness he had expected. This fulfillment showed him the eternal error men make in imagining that their happiness depends on the realization of their desires., Leo Tolstoy (Anna Karenina)
"To be more comfortable with yourself, improve your self-knowledge. To improve your self-knowledge, meditate.", Maxime Lagacé
"Sadness is a force of great depth and breadth. Too much sadness leads us to be passive, depressive, self-pitying and incapable of action. Too little leads us to be superficial, indifferent, repressing and lacking in sensitivity. changetools.co.",uk
Rejecting the moment creates friction. Friction creates confusion. Confusion creates sadness., Maxime Lagacé 
"Accept – then act. Whatever the present moment contains, accept it as if you had chosen it. Always work with it, not against it. Make it your friend and ally, not your enemy. This will miraculously transform your whole life.", Eckhart Tolle
Sorrow is an inextricable part of life. Whoever lives experiences it. There’s no escape. If we understand this then we would stop bewailing every misfortune that occurs. Life is a bargain. You want joy but you can’t have it without suffering. You must accept the whole package., The Ancient Sage
"Impermanence of everything is a universal constant. No matter what kind of legacy, family, foundation, or business you’ve created, one day it will disappear and no one will remember anything of your life.", Justin Kan
"Boredom, anger, sadness, or fear are not ‘yours,’ not personal. They are conditions of the human mind. They come and go. Nothing that comes and goes is you.", Eckhart Tolle
Most of the trouble in life comes from misunderstanding., Lucy Maud Montgomery
Mostly it is loss which teaches us about the worth of things., Arthur Schopenhauer
.,What if the worst thing that happened to you turns out to be the best thing that has ever happened to you? Joe Dispenza 
